1_FL1 Log,1_FL2 Log,1_FL3 Log,1_FL4 Log,1_FL5 Log,2_FL1 Log,2_FL2 Log,2_FL3 Log,2_FL4 Log,2_FL5 Log,3_FL1 Log,3_FL2 Log,3_FL3 Log,3_FL4 Log,3_FL5 Log,4_FL1 Log,4_FL2 Log,4_FL3 Log,4_FL4 Log,4_FL5 Log,5_FL1 Log,5_FL2 Log,5_FL3 Log,5_FL4 Log,5_FL5 Log,6_FL1 Log,6_FL2 Log,6_FL3 Log,6_FL4 Log,6_FL5 Log,7_FL1 Log,7_FL2 Log,7_FL3 Log,7_FL4 Log,7_FL5 Log,8_FL1 Log,8_FL2 Log,8_FL3 Log,8_FL4 Log,8_FL5 Log,1_Size,2_Size,3_Size,4_Size,5_Size,6_Size,7_Size,8_Size,Label
0.205182417,0.20227655,0.589268606,0.18183215,0.161979549,0.355549969,0.376491472,0.588194205,0.178981965,0.179637178,0.321500139,0.255099133,0.587022689,0.241917637,0.265074037,0.428255449,0.419016579,0.585545861,0.444936061,0.178782975,0.251429351,0.390377707,0.586974162,0.252382939,0.281716727,0.237382109,0.212846108,0.582399738,0.198878808,0.310359465,0.290056877,0.24102775,0.585937725,0.279709445,0.275803017,0.213653923,0.211454275,0.225993827,0.168968591,0.160188093,0.732274003,0.668522415,0.707436527,0.697956978,0.74007219,0.731965913,0.721269395,0.727084317,normal
0.281149328,0.259472148,0.49226198,0.190994338,0.167108448,0.331801005,0.359391157,0.489105944,0.171461752,0.186648251,0.353351314,0.280937065,0.487208052,0.197699265,0.198876057,0.419391831,0.432492984,0.487033065,0.416895704,0.170804206,0.303684474,0.417282069,0.492037789,0.200107061,0.322587285,0.290994222,0.265257642,0.484466875,0.184394493,0.282011197,0.312943501,0.263230392,0.486980596,0.229569317,0.281985856,0.289002271,0.264372849,0.251639197,0.17209051,0.161918472,0.498555984,0.450811566,0.486406117,0.443796312,0.514049546,0.509004055,0.505539525,0.560940615,normal
0.278797798,0.249168569,0.542158568,0.179060498,0.162542187,0.432685898,0.463741177,0.551797427,0.180887485,0.198905463,0.397068156,0.268721525,0.54879895,0.207656066,0.193356783,0.538564778,0.391299799,0.552911547,0.421448445,0.167933486,0.359419797,0.323691895,0.556996453,0.354393627,0.389280899,0.315441968,0.256696753,0.554819474,0.182536267,0.353834301,0.314403032,0.261730009,0.551182457,0.220677345,0.210011801,0.286996038,0.256483239,0.267840575,0.199505938,0.173291686,0.553561899,0.60238998,0.5983609,0.588802314,0.625902233,0.63577102,0.6345286,0.652307333,normal
0.241632869,0.241526353,0.499962094,0.185286187,0.177291547,0.456295667,0.467984545,0.503338485,0.187750221,0.191374085,0.3082994,0.25654583,0.495400639,0.197098826,0.203418706,0.522601648,0.423226882,0.49448314,0.418815859,0.169780007,0.283704617,0.341787713,0.49833594,0.305949995,0.35970699,0.274580156,0.248006436,0.496013505,0.180285789,0.360594713,0.279053459,0.24927787,0.504786774,0.226982113,0.231451769,0.237540467,0.230017575,0.246262798,0.173082309,0.164838013,0.570285391,0.543559909,0.544119877,0.561114494,0.574667681,0.599861204,0.568462795,0.613726382,normal
0.303875938,0.269965939,0.54747741,0.224097662,0.170733837,0.434227036,0.446661329,0.54869259,0.239077041,0.197855819,0.413823613,0.312488635,0.544337829,0.257349548,0.222463792,0.447034418,0.443683979,0.542020109,0.361180343,0.488923937,0.347774747,0.368731167,0.546960999,0.344661149,0.29855405,0.444849303,0.293443438,0.547474826,0.302991088,0.422826551,0.367741505,0.284763576,0.546767815,0.292525265,0.172032929,0.306547279,0.27891778,0.235461638,0.213511409,0.1614657,0.813479399,0.791529224,0.824628723,0.799338464,0.861671923,0.876642706,0.877820514,0.887209979,aml
0.316928306,0.279663182,0.582968248,0.198780234,0.175481085,0.422212368,0.486682787,0.576587818,0.149887009,0.225297961,0.373683678,0.288632697,0.587640856,0.21726118,0.200000799,0.582811029,0.462717787,0.597368528,0.527972152,0.179241217,0.359778142,0.449558539,0.58515602,0.232935918,0.412092022,0.342505252,0.28688776,0.584936718,0.193436454,0.364634841,0.343175321,0.285606732,0.577087746,0.233729633,0.29045091,0.32343401,0.286584708,0.25758893,0.169608908,0.169708271,0.572094744,0.527982289,0.55905626,0.56863942,0.585926927,0.591898442,0.585082953,0.610716881,normal
0.243262778,0.223985319,0.565523576,0.199228982,0.169089611,0.458198196,0.497355115,0.570138668,0.205133846,0.197172239,0.423264264,0.276552808,0.583575891,0.240393269,0.265006566,0.410302693,0.510780678,0.54484194,0.433736372,0.371770759,0.281753236,0.369859308,0.562530694,0.290371199,0.350731987,0.297482049,0.281482681,0.570866521,0.254157212,0.336270577,0.3093901,0.246342205,0.577147255,0.270086134,0.241873704,0.244360858,0.228260557,0.256113259,0.187485441,0.167555918,0.246344207,0.243266547,0.283134247,0.265756397,0.281171753,0.294613989,0.283924635,0.35240271,aml
0.304184716,0.294535787,0.576823399,0.209540601,0.185425643,0.414369196,0.445460299,0.577195046,0.213821531,0.228887043,0.400201805,0.308247991,0.574352058,0.217514054,0.203807084,0.506692348,0.443174452,0.572729967,0.446217686,0.18094972,0.364716242,0.416177606,0.57377076,0.308795957,0.397483229,0.338946662,0.304333799,0.574685882,0.207687974,0.33656082,0.333701876,0.305037173,0.576777052,0.245911564,0.249452384,0.307835598,0.27556826,0.258255275,0.196155341,0.181188493,0.772474854,0.749360407,0.793154798,0.784997639,0.819404918,0.826867543,0.81786646,0.83014471,normal
0.229905382,0.198987629,0.435770659,0.180417982,0.15817233,0.261738094,0.251219933,0.430435424,0.18043392,0.168685737,0.287232544,0.221634047,0.439266798,0.202824147,0.191661388,0.246844057,0.234203867,0.438847292,0.175547478,0.159639947,0.228785689,0.267400438,0.439907297,0.185404901,0.336813492,0.531685536,0.346726234,0.434027369,0.413648372,0.30714836,0.271555632,0.205830832,0.438647114,0.236413434,0.154905176,0.227379007,0.201606304,0.206198551,0.17558873,0.155763436,0.183772721,0.173452218,0.187261633,0.200988853,0.196677692,0.205645894,0.230058033,0.266642547,aml
0.253041461,0.245892197,0.5639898,0.195043665,0.15127345,0.344790849,0.301415642,0.561344693,0.189992386,0.165105926,0.347158815,0.278832583,0.564965433,0.219264983,0.201846504,0.516581776,0.476126941,0.562495699,0.559098121,0.163789225,0.296339917,0.456319611,0.565230362,0.27251562,0.282713004,0.278347587,0.261889409,0.561841443,0.194480807,0.303831635,0.303174581,0.257746361,0.562588338,0.264487459,0.271475906,0.273829129,0.249105571,0.218583705,0.195840655,0.154117565,0.725919552,0.735539468,0.753301957,0.769234133,0.793282691,0.791285666,0.779735228,0.871031932,normal
